Run,Fraction,TechRepMixture,Channel,Condition,BioReplicate,Mixture
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.1,Norm,P1A1,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.2,GA_BLNK_0d,P1A2,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.3,100g_BLNK,P1A3,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.4,GA_KES_0d,P1A4,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.5,100g_KES,P1A5,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.6,GA_BSLN_0d,P1A6,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.7,100g_BSLN,P1A7,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.8,GA_BLNK_24h,P1A8,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.9,100g_BLNK,P1A9,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.10,GA_KES_24h,P1A10,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1A,1,1,channel.11,100g_KES,P1A11,Mixture_1
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.1,Norm,P1B1,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.2,GA_BLNK_0d,P1B2,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.3,100g_BLNK,P1B3,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.4,GA_KES_0d,P1B4,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.5,100g_KES,P1B5,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.6,GA_BSLN_0d,P1B6,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.7,100g_BSLN,P1B7,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.8,GA_BLNK_24h,P1B8,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.9,100g_BLNK,P1B9,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.10,GA_KES_24h,P1B10,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1B,1,1,channel.11,100g_KES,P1B11,Mixture_2
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.1,Norm,P1C1,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.2,100g_BLNK,P1C2,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.3,GA_BLNK_72h,P1C3,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.4,GA_KES_0d,P1C4,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.5,100g_KES,P1C5,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.6,GA_BSLN_0d,P1C6,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.7,100g_BSLN,P1C7,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.8,100g_BLNK,P1C8,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.9,GA_BLNK_24h,P1C9,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.10,GA_KES_24h,P1C10,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1C,1,1,channel.11,100g_KES,P1C11,Mixture_3
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.1,Norm,P1D1,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.2,V_BLNK_0d,P1D2,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.3,G_BLNK,P1D3,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.4,V_KES_0d,P1D4,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.5,G_KES,P1D5,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.6,V_BSLN_0d,P1D6,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.7,G_BSLN,P1D7,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.8,V_BLNK_24h,P1D8,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.9,G_BLNK,P1D9,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.10,V_KES_24h,P1D10,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1D,1,1,channel.11,G_KES,P1D11,Mixture_4
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.1,Norm,P1E1,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.2,V_BLNK_0d,P1E2,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.3,G_BLNK,P1E3,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.4,V_KES_0d,P1E4,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.5,G_KES,P1E5,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.6,V_BSLN_0d,P1E6,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.7,G_BSLN,P1E7,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.8,V_BLNK_24h,P1E8,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.9,G_BLNK,P1E9,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.10,V_KES_24h,P1E10,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1E,1,1,channel.11,G_KES,P1E11,Mixture_5
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1F,1,1,channel.1,Norm,P1F1,Mixture_6
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1F,1,1,channel.2,V_BLNK_0d,P1F2,Mixture_6
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1F,1,1,channel.3,G_BLNK,P1F3,Mixture_6
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1F,1,1,channel.4,V_KES_0d,P1F4,Mixture_6
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1F,1,1,channel.5,G_KES,P1F5,Mixture_6
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1F,1,1,channel.6,V_BSLN_0d,P1F6,Mixture_6
Adrian_Leyuan_20211105_Exploris_gutAliveFilter_P1F,1,1,channel.7,G_BSLN,P1F7,Mixture_6
